Source,Target
100303,110402
100303,110505
100303,110608
100303,110711
100303,110801
100303,110904
100303,111007
100303,111110
100303,111200
100304,100305
100304,100307
100304,100308
100304,100300
100304,100301
100304,100303
100304,110004
100304,110107
100304,110210
100304,110300
100304,110403
100304,110506
100304,110609
100304,110712
100304,110802
100304,110905
100304,111008
100304,111111
100304,111201
100305,100306
100305,100308
100305,100309
100305,100301
100305,100302
100305,100304
100305,110005
100305,110108
100305,110211
100305,110301
100305,110404
100305,110507
100305,110610
100305,110700
100305,110803
100305,110906
100305,111009
100305,111112
100305,111202
100306,100307
100306,100309
100306,100310
100306,100302
100306,100303
100306,100305
100306,110006
100306,110109
100306,110212
100306,110302
100306,110405
100306,110508
100306,110611
100306,110701
100306,110804
100306,110907
100306,111010
100306,111100
100306,111203
100307,100308
100307,100310
100307,100311
100307,100303
100307,100304
100307,100306
100307,110007
100307,110110
100307,110200
100307,110303
100307,110406
100307,110509
100307,110612
100307,110702
100307,110805
100307,110908
100307,111011
100307,111101
100307,111204
100308,100309
100308,100311
100308,100312
100308,100304
100308,100305
100308,100307
100308,110008
100308,110111
100308,110201
100308,110304
100308,110407
100308,110510
100308,110600
100308,110703
100308,110806
100308,110909
100308,111012
100308,111102
100308,111205
100309,100310
100309,100312
100309,100300
100309,100305
100309,100306
100309,100308
100309,110009
100309,110112
100309,110202
100309,110305
100309,110408
100309,110511
100309,110601
100309,110704
100309,110807
100309,110910
100309,111000
100309,111103
100309,111206
100310,100311
100310,100300
100310,100301
100310,100306
100310,100307
100310,100309
100310,110010
100310,110100
100310,110203
100310,110306
100310,110409
100310,110512
100310,110602
100310,110705
100310,110808
100310,110911
100310,111001
100310,111104
100310,111207
100311,100312
100311,100301
100311,100302
100311,100307
100311,100308
100311,100310
100311,110011
100311,110101
100311,110204
100311,110307
100311,110410
100311,110500
100311,110603
100311,110706
100311,110809
100311,110912
100311,111002
100311,111105
100311,111208
100312,100300
100312,100302
100312,100303
100312,100308
100312,100309
100312,100311
100312,110012
100312,110102
100312,110205
100312,110308
100312,110411
100312,110501
100312,110604
100312,110707
100312,110810
100312,110900
100312,111003
100312,111106
100312,111209
100400,100401
100400,100403
100400,100404
100400,100409
100400,100410
100400,100412
100400,110000
100400,110104
100400,110208
100400,110312
100400,110403
100400,110507
100400,110611
100400,110702
100400,110806
100400,110910
100400,111001
100400,111105
100400,111209
100401,100402
100401,100404
100401,100405
100401,100410
100401,100411
100401,100400
100401,110001
100401,110105
100401,110209
100401,110300
100401,110404
100401,110508
100401,110612
100401,110703
100401,110807
100401,110911
100401,111002
100401,111106
100401,111210
100402,100403
100402,100405
100402,100406
100402,100411
100402,100412
100402,100401
100402,110002
100402,110106
100402,110210
100402,110301
100402,110405
100402,110509
100402,110600
100402,110704
100402,110808
100402,110912
100402,111003
100402,111107
100402,111211
100403,100404
100403,100406
100403,100407
100403,100412
100403,100400
100403,100402
100403,110003
100403,110107
100403,110211
100403,110302
100403,110406
100403,110510
100403,110601
100403,110705
100403,110809
100403,110900
100403,111004
100403,111108
100403,111212
100404,100405
100404,100407
100404,100408
100404,100400
100404,100401
100404,100403
100404,110004
100404,110108
100404,110212
100404,110303
100404,110407
100404,110511
100404,110602
100404,110706
100404,110810
100404,110901
100404,111005
100404,111109
100404,111200
100405,100406
100405,100408
100405,100409
100405,100401
100405,100402
100405,100404
100405,110005
100405,110109
100405,110200
100405,110304
100405,110408
100405,110512
